Story Heading,Story Excerpt,Timestamp,Section
Iqra Aziz's latest drama sparks outrage for making light of domestic violence,Drama Jhooti's trailer shows the actor faking being a victim of domestic abuse and people are not okay with it.,"05 Jan, 2020 02:16pm",Pakistan
Australia's Marcus Stoinis fined for homophobic slur during Big Bash League,"""I got caught in the moment and took it too far,"" says the Australian all-rounder.","05 Jan, 2020 02:16pm",Sport
Australia's bushfire evacuees prepare for another night on the beaches,Australia has been battling wildfires across large swathes of its east coast for weeks.,"05 Jan, 2020 01:21pm",World
"'Condemnable' Nankana Sahib incident against my vision, says PM Imran","""Difference between Nakana incident and attacks in India is that the former will find zero protection from the govt.""","05 Jan, 2020 06:16pm",Pakistan
Sonya Battla is celebrating two decades in fashion this year,"From being the new kid on the block to representing Pakistan in shows abroad, the designer tells her story","05 Jan, 2020 01:00pm",Pakistan
Iranian general's killing sparks countrywide protests in US,Demonstrators condemn Trump administration’s move to send more troops to Middle East.,"05 Jan, 2020 12:52pm",World
"Protesters gather in Karachi, Islamabad for anti-America rallies","The protesters carried portraits of Iran's Maj Gen Qasem Soleimani and chanted slogans of ""Death to America!""","06 Jan, 2020 08:50am",
Internet trek: Kashmiris travel miles to get online due to India's 5-month-long clampdown,"Banihal, a two-hour train ride from Srinagar, is the nearest town with any access.","05 Jan, 2020 02:12pm",World
Rapper DaBaby arrested after fight with music promoter,He was booked into the Miami-Dade jail on a battery charge.,"05 Jan, 2020 11:51am",World
Ceremonies to honour general killed by US begin in Iran's Ahvaz,Soleimani's remains are expected to be flown to the Iranian capital for more tributes on Sunday evening.,"05 Jan, 2020 10:47am",World
Fear and the city: What navigating Karachi as a gendered outsider feels like,"That bodies carry trauma I had always known, but that cities carry it too, I am learning the hard way","05 Jan, 2020 10:12am",Pakistan
How to dress for an epic vacation according to Pakistani celebrities,Greece backdrop + an electric blue sun dress = quadruple digit Instagram likes!,"05 Jan, 2020 09:30am",Pakistan
NON-FICTION: BARNES STORMING,"Julian Barnes’s latest book is a groundbreaking, genre-bending biography which has the fascination of fiction and which","05 Jan, 2020 09:19am",Newspaper
FICTION: WHAT DOES IT MEAN TO BE HUMAN?,An astonishing novel that sets out to explore complex theories regarding the human experience shows that thought,"05 Jan, 2020 09:16am",Newspaper
NON-FICTION: SILENCED HISTORIES,"Revisiting 1971 in Bangladesh, Pakistan and India shows how people remember the conflict and how states influence those","05 Jan, 2020 09:10am",Newspaper
FICTION: IN SEARCH OF LOST IDENTITY,Muhammad Hafeez Khan’s latest work of fiction — a novel in the Seraiki language titled Adh Adhooray Lok [People...,"05 Jan, 2020 09:07am",Newspaper
"JUI-F won’t vote in favour of bills regarding the tenure of the services chiefs, says Fazl",Holds PML-N president responsible for disunity in ranks of the opposition.,"05 Jan, 2020 07:58am",Pakistan
Smokers' Corner: Eulogising Nazi Germany in South Asia,The curious case of ‘brown’ folks fawning over Hitler and his policies.,"05 Jan, 2020 10:18am",World
Editorial: America’s desire to be a global policeman has played a major role in creating a more unstable world,The operative American policy seems to be ‘shoot first and ask questions later’.,"05 Jan, 2020 07:40am",World
Mainstream political parties have decided to put off the battle for civilian supremacy for another day,"For now, they will be content with ‘sharing’ power in the larger ‘national interest’.","05 Jan, 2020 07:36am",Pakistan
Trump vows to hit 52 Iranian targets if Iran retaliates after drone strike,"""Targeting cultural sites is a WAR CRIME,"" responds Iran's top diplomat Mohammad Javad Zarif.","05 Jan, 2020 03:20pm",World
Analysis: Trump stirs Mideast tensions despite talk of ‘endless wars’,The killing of Gen Qassem Soleimani in Baghdad has the world bracing for a possible retaliation.,"05 Jan, 2020 08:54am",Newspaper
Child protection courts in KP dispose of around 450 cases,PHC registrar says govt released only 25pc of required funds.,"05 Jan, 2020 09:11am",Pakistan
"KP CM Mahmood changes four ministers, two aides","Appoints two new ministers, one adviser, eight special assistants.","05 Jan, 2020 09:09am",Pakistan
Illegal wildlife trade thrives online despite conservation efforts,"Last week, IWMB confiscated a mounted Ibex trophy that was being sold on OLX illegally for Rs65,000.","05 Jan, 2020 09:26am",Pakistan
Judge orders investigation after ‘wrong’ man sent to jail,The court directs the police to probe the matter and submit a report.,"05 Jan, 2020 09:14am",Pakistan
Pakistan to become self-sufficient in four antisera by June,NIH plans to export antisera as it has ISO certification.,"05 Jan, 2020 09:30am",Pakistan
Ulema visit Nankana to express solidarity with Sikhs,Demonstration leader apologises for 'hurtful comments'.,"05 Jan, 2020 09:32am",Pakistan
Lahore witnesses sharp increase in street crime,"Robbers make off with cash, valuables in 36 hits during 24 hours.","05 Jan, 2020 09:21am",Pakistan
Edhi Foundation found 375 bodies of newly born babies in 2019,The number surpasses the figure of the preceding year.,"05 Jan, 2020 09:43am",Pakistan
"New CJP arrives in city, to hear cases on 10th",Justice Gulzar Ahmed plants a sapling on the premises of the Quaid-i-Azam’s mausoleum.,"05 Jan, 2020 09:43am",Pakistan
"Sindh set to recruit over 1,600 policewomen",Gilgit-Baltistan has the highest percentage of female police personnel in the country.,"05 Jan, 2020 09:40am",Pakistan
Trump portrays himself as defender of faith for evangelicals,"Trump speaks to more than 5,000 Christians, including a large group of Latinos, at a Miami megachurch.","05 Jan, 2020 08:46am",Newspaper
Power supply fears as troops called to battle Australia bushfires,"Since late September, 23 people have died, more than 1,500 homes have been damaged.","05 Jan, 2020 08:58am",Newspaper
Uganda’s president begins jungle march to highlight liberation struggle,Museveni is one of Africa’s longest-ruling leaders.,"05 Jan, 2020 08:42am",Newspaper
Ghosn lawyer outraged by Japan’s justice system,Takano says he has never before felt such disgust over Japan’s legal system.,"05 Jan, 2020 08:40am",Newspaper
Rajapaksa outlines vision for Sri Lanka in parliament,Rajapaksa delivers his first-ever address to parliament on Friday after winning the presidential election on Nov 16.,"05 Jan, 2020 08:50am",Newspaper
Thousands in shelters as Indonesia flood death toll hits 60,The death toll from the disaster jumps to 60.,"05 Jan, 2020 08:39am",Newspaper
"Nadal, Djokovic off to winning starts; Thiem loses",The top eight from the round robin go onto the knockout phase in Sydney.,"05 Jan, 2020 09:53am",Newspaper
England make South Africa struggle,South Africa trail by 54 runs on the first innings having bowled England out for 269.,"05 Jan, 2020 09:55am",Newspaper
Kohli latest to oppose four-day Test concept,The ICC’s plans to cut the length of Test matches from 2023 have divided players and nations.,"05 Jan, 2020 09:57am",Newspaper
New Zealand on the chase after Labuschagne strikes double ton,The Sydney Test is being played against the backdrop of one of Australia’s most devastating bushfire seasons.,"05 Jan, 2020 09:54am",Newspaper
Labuschagne hits record heights in special summer,"""You’re not just playing for yourself you’re playing for a team that is really enjoyable to be a part of,"" he says.","05 Jan, 2020 09:58am",Newspaper
US farmers see another bleak year despite China trade deal,Many don’t know yet what crops they’ll plant next season among a host of dicey options.,"05 Jan, 2020 08:35am",Newspaper
An app to guide your next trip,TripMate already has 11 cities live while almost half the work is done for another 12.,"05 Jan, 2020 08:34am",Newspaper
Stocks go bullish in first week of 2020,"KSE-100 index logs gains of 1,475 points (3.61 per cent) and closes at 42,323.","05 Jan, 2020 08:31am",Newspaper
"Gold hits all-time high of Rs90,800","From Jan 1, 2019, till yesterday this year, one tola and 10g gold price swell by Rs23,000 and Rs19,718.","05 Jan, 2020 10:07am",Newspaper
Govt borrows Rs1.1tr from banks in six months,Borrowings in single week of December witnessed a jump of 55pc.,"05 Jan, 2020 08:29am",Newspaper
Matriculate appointed education minister in KP,Provincial information minister says Akbar Khan qualified to run education department.,"05 Jan, 2020 09:42am",Pakistan
Rescue work continues in quake-hit Astore amid complaints,"Several houses severely damaged, residents displaced.","05 Jan, 2020 09:13am",Pakistan
First Pakistani climber summits Mont Blanc,"Mohammad Ali Sadpara has previously climbed all five 8,000-metre-high peaks in Pakistan.","05 Jan, 2020 08:09am",Pakistan
Experts choose neutral pronoun ‘they’ as word of the decade,'Google' and 'web' chosen as words of the past two decades.,"05 Jan, 2020 08:19am",Newspaper
"Patrol jets, UAVs to make navy’s air arm more efficient, says chief",Highlights the navy’s role in safeguarding the maritime frontiers and ensuring safety of sea lines of communication.,"05 Jan, 2020 09:19am",Pakistan
World urged to help Kashmiris get their rights,FM Qureshi says India must be made to allow a UN mission in the occupied valley.,"05 Jan, 2020 11:05am",Pakistan
Decline in imports behind massive revenue loss: FBR,Tax body admits half-yearly collection target missed by Rs114bn.,"05 Jan, 2020 07:57am",Newspaper
"Polio cases for 2019 still surfacing, tally rises  to 128",Two cases each were reported from Sindh and Balochistan and one from KP.,"05 Jan, 2020 08:05am",Pakistan
NA panel to reconsider key bills tomorrow,"Opposition, govt agree on renewed timeline for legislation regarding services chiefs tenure.","05 Jan, 2020 07:05am",Newspaper
Author Mohammed Hanif says Urdu publisher of his bestseller raided,"""This is a craven attempt to stifle artistic freedom of expression,"" says HRCP.","07 Jan, 2020 02:44pm",Pakistan
UAE unveils first multi-entry five-year tourist visa,"The visa, available to all nationalities, is aimed at boosting the local tourism industry.","06 Jan, 2020 09:09pm",World
'Lawmakers have respect too': Fawad Chaudhry seeks review of laws after scuffle with anchorperson,"Minister regrets that some people defame others ""for the sake of likes and ratings without any accountability"".","07 Jan, 2020 12:00am",Pakistan
Dawn CEO Hameed Haroon sends legal notice to filmmaker Jami,Demands an unconditional public apology and retraction of rape allegations within 14 days of receipt of notice.,"06 Jan, 2020 07:41pm",Pakistan
'Zindagi': PM Imran launches app to control drug abuse,"Imran Khan says his government has decided to combat drug abuse and child abuse ""on an emergency basis"".","06 Jan, 2020 06:34pm",Pakistan
Bollywood condemns attack on JNU by masked vandals,Several like Sonam Kapoor and Mahesh Bhatt took to Twitter to condemn the attack and lend their support to the students.,"06 Jan, 2020 04:48pm",World
"Pakistan will not be party to US-Iran conflict, FM Qureshi tells Senate","""The situation in the Middle East is very sensitive, fluid and concerning,"" says Shah Mehmood Qureshi.","07 Jan, 2020 03:17pm",Pakistan
AP Fact Check: US Vice President Mike Pence misleadingly links Iran general to 9/11,"There is no evidence that Iran directly supported the 9/11 hijackers, many of them Saudi members of  Al Qaeda.","06 Jan, 2020 03:11pm",World
In pictures: Australia burns as wildfires enter sixth day,Australia's capital Canberra currently has the worst air quality of any major city in the world.,"06 Jan, 2020 02:57pm",World
Lums thought it was a good idea to rebrand as LUMSU. Twitter doesn't agree,"Lahore University of Management Sciences, commonly abbreviated as Lums, has changed its name to Lums University.","06 Jan, 2020 03:16pm",Pakistan
Teen tennis sensation makes flying start to new year at Auckland Open,Serena Williams is scheduled to meet Coco Gauff in the quarter-finals if they both win their first two matches.,"06 Jan, 2020 02:45pm",Sport
Winter holidays for Punjab schools extended until Jan 12 as cold wave intensifies,Punjab Education Minister Murad Raas confirms govt and private schools will reopen on Jan 13.,"06 Jan, 2020 02:37pm",Pakistan
"India should focus on protecting minorities from 'saffron terror', not indulge in propaganda: FO","""The RSS-inspired BJP government has absolutely no credentials even to pretend that it is a protector of minorities.""","06 Jan, 2020 03:18pm",World
Eman Suleman's nikkah was a private and intimate affair,The model tied the knot with Jamil Haider Rizvi in Lahore over the weekend.,"06 Jan, 2020 02:09pm",Pakistan
Superfast 5G on the slow road at Vegas gadget gala,Video game and television streaming fans are expected to be among the first to reap the bounty of 5G.,"06 Jan, 2020 01:53pm",Tech
