Story Heading,Story Excerpt,Timestamp,Section
Pakistan,Teenage girl among two affected by polio in Punjab,The cases have been categorised in 2019 as the samples were collected last year.,"21 Feb, 2020 07:54am"
,,,
,,,
Pakistan,Major Sindh projects to be approved during Chinese president’s upcoming visit,CPEC Authority Chairman Asim Bajwa calls on Sindh Chief Minister Murad Ali Shah to discuss mega schemes.,"22 Feb, 2020 09:18am"
,,,
,,,
,,,
,,,
Pakistan,Use of modern technology in livestock sector can help country prosper: Murad,Says Sindh govt is working to promote livestock and agriculture as a priority.,"10 Feb, 2020 08:51am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,"IHC grants bail to Shahid Khaqan Abbasi, Ahsan Iqbal in corruption cases",NAB to challenge decision in Supreme Court.,"25 Feb, 2020 09:40pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,Story Time: The haunted mine,"Once upon a time, there were mines near a village where a lot of villagers worked daily for their livelihood.","08 Feb, 2020 06:59am"
,,,
Newspaper,Pompeo meets Oman’s ruler with Iran on agenda,"Oman supported the Obama administration’s nuclear agreement with Iran and world powers, from which Trump withdrew.","22 Feb, 2020 09:34am"
,,,
,,,
Newspaper,IMF asks govt to focus on human development,"Suggests cut in import tariffs, signing of more free trade agreements.","13 Feb, 2020 07:34am"
,,,
,,,
Newspaper,Wheat smuggling probes’ outcome ‘inconclusive’,Pakis­tan Bureau of Statistics (PBS) stands by its export figures.,"18 Feb, 2020 08:38am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Lions devour teenager in Lahore safari zoo,Mystery surrounds Bilal’s decision to get into enclosure to cut grass.,"27 Feb, 2020 10:20am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
World,Popular Broadway musical Hamilton is making its way to cinemas,"Disney announced it will distribute a four-year-old live capture of Lin-Manuel Miranda’s show October 15, 2021","04 Feb, 2020 02:27pm"
,,,
,,,
,,,
,,,
,,,
Pakistan,Gold-medal-winning martial artists may not make it to Asian championship without govt support,"Facing high costs of competing in professional sports, gold medallist martial artists appeal to government for support.","19 Feb, 2020 01:56pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,"Merit-based postings, security of tenure suggested for effective policing",The Sindh police propose setting up a research and study centre in the annual policing plan.,"11 Feb, 2020 09:05am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Malir admin told to be vigilant after soya bean ship moved to Port Qasim,Commissioner says investigations into Keamari deaths still going on.,"23 Feb, 2020 09:20am"
Newspaper,Female labour force share on the rise in Pakistan unlike India,"IMF report finds overall decline in gender gap, but women’s participation is still far less than men’s.","19 Feb, 2020 08:21am"
,,,
Sport,PSL 2020 trophy unveiled at Karachi's National Stadium,"Ehsan Mani reveals the PCB plans to ""aggressively"" bid to host ICC events between 2023 and 2031.","20 Feb, 2020 07:30am"
,,,
,,,
,,,
Pakistan,International conference to renew focus on Afghan refugees,The conference is being co-hosted by the Pakistan government and the United Nations refugee agency.,"12 Feb, 2020 07:48am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Post-arrest bail plea of PTM activists dismissed,"“It is a case in which Section 7 of ATA is attracted by all force, hence, this court lacks jurisdiction.”","01 Feb, 2020 11:27am"
,,,
,,,
,,,
Pakistan,Weeklong anti-polio drive begins in Sindh today,Officials says some 6.7 million children under the age of five will be provided oral polio vaccine.,"17 Feb, 2020 08:41am"
,,,
