Story Heading,Story Excerpt,Timestamp,Section
World,Violence again rocks Minneapolis after George Floyd’s death; 1 killed,Police say they are investigating the new death as a homicide and have a suspect in custody.,"28 May, 2020 11:41am"
Pakistan,NAB files reference against LG officials,Three employees accused of receiving kickbacks from contractors of govt uplift schemes executed in Shirani district.,"01 May, 2020 09:59am"
Newspaper,Brazil sees record virus deaths as pandemic surges in Latin America,President Jair Bolsonaro remains bitterly opposed to lockdowns having described them as unnecessary over a “little flu”.,"21 May, 2020 09:53am"
World,Afghan president and rival announce power-sharing agreement,Ashraf Ghani will remain president while Abdullah Abdullah will lead the National Reconciliation High Council.,"17 May, 2020 05:53pm"
World,Irrfan Khan was going to star in a movie about a pandemic,"""I wish I had created something with him,” lamented director Anand Gandhi.","07 May, 2020 01:34pm"
Newspaper,Interesting times ahead for crude,Is another crude price rout around the corner?,"03 May, 2020 10:05am"
World,Venice Film Festival will go ahead in September,"Cannes Film Festival, the world’s largest, was forced to postpone its latest edition in May due to the virus epidemic","25 May, 2020 01:00pm"
Pakistan,Citizen injured in unprovoked firing by Indian troops along LoC: ISPR,"The injured civilian has been evacuated to a nearby health facility, says the military's media wing.","18 May, 2020 09:40pm"
Pakistan,Virus pushes Pakistan's transgender dancers out of their homes,"Kashish, who founded a shelter, questions whether the dancers will be able to regain financial freedom they once had.","22 May, 2020 12:41pm"
World,China's Jilin in partial lockdown over 'major risk' of virus spread,China has largely brought the virus under control but fears a second wave of infections.,"13 May, 2020 12:28pm"
Newspaper,New committee formed for talks with IPPs,Committee formed under a decision of Cabinet Committee on Energy headed by Planning Minister Asad Umar.,"22 May, 2020 09:16am"
World,"UK's Covid-19 death toll tops 40,000, worst in Europe",The data comes a day after the UK premier announced a gradual plan to get Britain back to work.,"13 May, 2020 09:13pm"
Newspaper,Govt working on capacity-based taxation for traders,Finance adviser directs FBR to engage with FPCCI and other bodies to cross-match data and cooperation.,"19 May, 2020 08:27am"
Pakistan,"Govt, striking doctors reach a settlement","Medical workers had been on hunger strike for past two weeks, demanding reinstating of terminated employees and PPE.","02 May, 2020 10:16am"
World,"Truck bomb in eastern Afghan city kills 5, Taliban claim responsibility",President Ashraf Ghani says he has ordered the military to switch to offensive mode rather than the defensive stance.,"14 May, 2020 12:13pm"
World,Saudi Arabia forms police unit to enforce coronavirus curbs,"Fines of up to 100,000 riyals to be handed down to groups larger than one family gathering in public and private spaces.","07 May, 2020 11:25pm"
Pakistan,"This ‘Asma-Ul-Husna’ recitation came straight from the heart, says Atif Aslam","“Nothing excites me more than these recitations, they satisfy my soul,” he said about his new Coke Studio collaboration","15 May, 2020 03:56pm"
Pakistan,Mental health: Pakistan’s Achilles heel during Covid-19,"While a small percentage of us will catch the virus, everyone will be psychologically impacted by it.","27 May, 2020 07:01pm"
World,'What's the point of staying?': Gulf faces expatriate exodus,The Middle East is headed for an economic downturn this year that dwarfs 2008 and 2014/2015.,"08 May, 2020 12:22pm"
Pakistan,‘Covid-19 pandemic may lead to greater number of fistula cases’,"In Pakistan the true prevalence of fistula is unknown, but an estimated 5,000 cases are recorded every year.","25 May, 2020 09:10am"
Pakistan,Court extends former PM Abbasi’s bail in view of pandemic,The extension is until third week of May.,"06 May, 2020 09:17am"
Pakistan,"Lockdown over, Pakistan's Covid-19 deaths, infections tick higher","PM Imran has defended the lifting of the lockdown, saying the virus spread has been well below projections.","21 May, 2020 07:11pm"
